Plot,DeltaDiversity,Order of Q,Elevation,Elevation Zone,DeltaGapFraction,Slope,Aspect
F000,-3,0,1679, Spruce Fir,-0.627,53,0
F007,-12,0,1811, Spruce Fir,-13.453,17,330
F010,0,0,1778, Spruce Fir,4.051,33,190
F011,-3,0,1698, Spruce Fir,-0.535,36,0
F012,-5,0,1782, Spruce Fir,-6.037,24,230
F016,-5,0,1803, Spruce Fir,1.439,38,300
F017,-12,0,1734, Spruce Fir,-0.59,69,315
F019,-3,0,1805, Spruce Fir,-1.941,68,230
F021,-9,0,1938, Fir,-4.856,60,130
F023,5,0,1833, Spruce Fir,55.294,37,200
F025,-1,0,1830, Spruce Fir,-5.381,48,50
F028,-5,0,1923, Fir,12.858,47,270
F030,-14,0,1885, Fir,-3.711,58,180
F033,-16,0,1963, Fir,0.18,36,280
F045,-6,0,1639, Spruce,-2.302,74,85
F048,-20,0,1876, Fir,68.658,52,285
F081,-8,0,1796, Spruce Fir,-1.163,40,268
F107,-43,0,1924, Fir,-13.039,52,270
F110,-9,0,1932, Fir,-1.713,5,140
F123,-6,0,1756, Spruce Fir,8.426,23,340
F125,-15,0,1728, Spruce Fir,18.408,29,84
F126,-3,0,1574, Spruce,6.851,40,215
F131,-16,0,1752, Spruce Fir,15.328,76,190
F132,-4,0,1706, Spruce Fir,-3.933,33,90
F136,-10,0,1750, Spruce Fir,-2.851,4,180
F156,-6,0,1857, Spruce Fir,6.987,25,29
F157,-30,0,1766, Spruce Fir,-42.452,15,235
F185,-16,0,1856, Spruce Fir,-3.285,9,242
F190,-16,0,1852, Spruce Fir,2.311,13,230
F191,-9,0,1816, Spruce Fir,-34.919,17,172
F193,3,0,1858, Spruce Fir,2.638,28,110
F246,-20,0,1939, Fir,-2.213,17,240
S000,3,0,1516, Spruce,-0.565,61,220
S004,-5,0,1851, Spruce Fir,-4.481,36,90
S012,-1,0,1543, Spruce,11.285,36,320
S015,-6,0,1727, Spruce Fir,1.366,56,230
S016,1,0,1679, Spruce Fir,4.171,28,90
S018,-1,0,1544, Spruce,31.047,67,0
S022,-27,0,1823, Spruce Fir,0.054,58,150
S023,-1,0,1839, Spruce Fir,5.715,62,80
S027,-1,0,1904, Fir,-6.719,31,260
S028,-4,0,1826, Spruce Fir,-1.305,37,145
S043,-4,0,1453, Spruce,-8.845,38,290
S115,-12,0,1428, Spruce,0.366,17,130
S141,-9,0,1534, Spruce,-7.661,53,245
F000,-4.625949262,1,1679, Spruce Fir,-0.627,53,0
F007,-4.690284166,1,1811, Spruce Fir,-13.453,17,330
F010,-0.822939513,1,1778, Spruce Fir,4.051,33,190
F011,-3.212855939,1,1698, Spruce Fir,-0.535,36,0
F012,-1.002662994,1,1782, Spruce Fir,-6.037,24,230
F016,-2.429367836,1,1803, Spruce Fir,1.439,38,300
F017,-6.977185336,1,1734, Spruce Fir,-0.59,69,315
F019,-3.916487811,1,1805, Spruce Fir,-1.941,68,230
F021,-6.200481398,1,1938, Fir,-4.856,60,130
F023,0.562894075,1,1833, Spruce Fir,55.294,37,200
F025,-1.182501858,1,1830, Spruce Fir,-5.381,48,50
F028,-7.347111537,1,1923, Fir,12.858,47,270
F030,-7.245558598,1,1885, Fir,-3.711,58,180
F033,-3.623307774,1,1963, Fir,0.18,36,280
