Plot,DeltaSpeciesRichness,DeltaGapFraction,Elevation,Slope,SlopeAspect
F000,-3,-0.627,1679,53,0
F007,-12,-13.453,1811,17,330
F010,0,4.051,1778,33,190
F011,-3,-0.535,1698,36,0
F012,-5,-6.037,1782,24,230
F016,-5,1.439,1803,38,300
F017,-12,-0.59,1734,69,315
F019,-3,-1.941,1805,68,230
F021,-9,-4.856,1938,60,130
F023,5,55.294,1833,37,200
F025,-1,-5.381,1830,48,50
F028,-5,12.858,1923,47,270
F030,-14,-3.711,1885,58,180
F033,-16,0.18,1963,36,280
F045,-6,-2.302,1639,74,85
F048,-20,68.658,1876,52,285
F081,-8,-1.163,1796,40,268
F107,-43,-13.039,1924,52,270
F110,-9,-1.713,1932,5,140
F123,-6,8.426,1756,23,340
F125,-15,18.408,1728,29,84
F126,-3,6.851,1574,40,215
F131,-16,15.328,1752,76,190
F132,-4,-3.933,1706,33,90
F136,-10,-2.851,1750,4,180
F156,-6,6.987,1857,25,29
F157,-30,-42.452,1766,15,235
F185,-16,-3.285,1856,9,242
F190,-16,2.311,1852,13,230
F191,-9,-34.919,1816,17,172
F193,3,2.638,1858,28,110
F246,-20,-2.213,1939,17,240
S000,3,-0.565,1516,61,220
S004,-5,-4.481,1851,36,90
S012,-1,11.285,1543,36,320
S016,1,4.171,1679,28,90
S018,-1,31.047,1544,67,0
S022,-27,0.054,1823,58,150
S023,-1,5.715,1839,62,80
S027,-1,-6.719,1904,31,260
S028,-4,-1.305,1826,37,145
S043,-4,-8.845,1453,38,290
S115,-12,0.366,1428,17,130
S141,-9,-7.661,1534,53,245
S015,-6,1.366,1727,56,230
