Plot,DeltaPercentCover,DeltaGapFraction,Elevation,Slope,EleGroup,SlopeAspect
F000,-39,-0.627,1679,53,2,0
F007,314,-13.453,1811,17,2,330
F010,-1055,4.051,1778,33,2,190
F011,-219,-0.535,1698,36,2,0
F012,-545,-6.037,1782,24,2,230
F016,79,1.439,1803,38,2,300
F017,-104,-0.59,1734,69,2,315
F019,503,-1.941,1805,68,2,230
F021,68,-4.856,1938,60,3,130
F023,-218,55.294,1833,37,2,200
F025,191,-5.381,1830,48,2,50
F028,528,12.858,1923,47,3,270
F030,290,-3.711,1885,58,3,180
F033,1116,0.18,1963,36,3,280
F045,-615,-2.302,1639,74,1,85
F048,1698,68.658,1876,52,3,285
F081,-954,-1.163,1796,40,2,268
F107,1023,-13.039,1924,52,3,270
F110,407,-1.713,1932,5,3,140
F123,30,8.426,1756,23,2,340
F125,-51,18.408,1728,29,2,84
F126,-186,6.851,1574,40,1,215
F131,366,15.328,1752,76,2,190
F132,-672,-3.933,1706,33,2,90
F136,918,-2.851,1750,4,2,180
F156,-679,6.987,1857,25,2,29
F157,417,-42.452,1766,15,2,235
F185,148,-3.285,1856,9,2,242
F190,520,2.311,1852,13,2,230
F191,38,-34.919,1816,17,2,172
F193,-241,2.638,1858,28,2,110
F246,515,-2.213,1939,17,3,240
S000,-315,-0.565,1516,61,1,220
S004,956,-4.481,1851,36,2,90
S012,-3,11.285,1543,36,1,320
S015,-261,1.366,1727,56,2,230
S016,210,4.171,1679,28,2,90
S018,-587,31.047,1544,67,1,0
S022,17,0.054,1823,58,2,150
S023,-542,5.715,1839,62,2,80
S027,142,-6.719,1904,31,3,260
S028,288,-1.305,1826,37,2,145
S043,574,-8.845,1453,38,1,290
S115,293,0.366,1428,17,1,130
S141,-320,-7.661,1534,53,1,245
