StehnPlot,ShershenPlot,PerCov08,PerCov20,Change,,Elevation
F000,34,0.211,0.222,0.011,p,1679
F007,2,0.283,0.2,-0.083,n,1811
F010,22,0.147,0.492,0.345,p,1778
F011,32,0.101,0.175,0.074,p,1698
F012,3,0.162,0.51,0.348,p,1782
F016,20,0.284,0.266,-0.018,n,1803
F017,27,0.461,0.458,-0.003,n,1734
F019,30,0.352,0.173,-0.179,n,1805
F021,15,0.164,0.142,-0.022,n,1938
F023,21,0.21,0.282,0.072,p,1833
F025,7,0.322,0.258,-0.064,n,1830
F028,18,0.349,0.19,-0.159,n,1923
F030,13,0.27,0.147,-0.123,n,1885
F033,28,0.8,0.382,-0.418,n,1963
F045,5,0.278,0.453,0.175,p,1639
F048,23,0.4557,0,-0.4557,n,1876
F081,42,0.232,0.545,0.313,p,1796
F107,24,0.351,0,-0.351,n,1924
F110,12,0.228,0.08,-0.148,n,1932
F123,14,0.214,0.187,-0.027,n,1756
F125,36,0.366,0.387,0.021,p,1728
F126,40,0.145,0.202,0.057,p,1574
F131,6,0.462,0.34,-0.122,n,1752
F132,37,0.246,0.468,0.222,p,1706
F136,1,0.494,0.187,-0.307,n,1750
F156,9,0.136,0.362,0.226,p,1857
F157,8,0.408,0.293,-0.115,n,1766
F185,31,0.241,0.19,-0.051,n,1856
F190,33,0.391,0.21,-0.181,n,1852
F191,10,0.246,0.227,-0.019,n,1816
F193,41,0.176,0.235,0.059,p,1858
F246,29,0.426,0.245,-0.181,n,1939
S000,44,0.03,0.135,0.105,p,1516
S004,38,0.513,0.172,-0.341,n,1851
S012,35,0.081,0.082,0.001,p,1543
S016,26,0.241,0.255,0.014,p,1679
S018,25,0.085,0.28,0.195,p,1544
S022,16,0.409,0.395,-0.014,n,1823
S023,17,0.444,0.62,0.176,p,1839
S027,43,0.233,0.158,-0.075,n,1904
S028,39,0.263,0.157,-0.106,n,1826
S043,4,0.341,0.15,-0.191,n,1453
S115,19,0.131,0.033,-0.098,n,1428
S141,11,0.118,0.222,0.104,p,1534
S015,45,0.345,0.27,0.104,p,1727
