Plot,ABIEFRA,PICERUB,BETUALL,ULMUAME,TSUGCAN,ACERPEN,SPEX,SPEY,SPEA,SPEB,ACERSPI,PRUNPEN,SORBAME,ACERRUB,AMELLAE,PINURIG,HALECAR,ACERSAC
F000-2020,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
F007-2020,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F010-2020,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F011-2020,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F012-2020,2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F016-2020,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
F017-2020,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F019-2020,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F021-2020,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F023-2020,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F025-2020,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F028-2020,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
F030-2020,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F033-2020,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F048-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F081-2020,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F107-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F110-2020,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F123-2020,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F125-2020,3,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
F131-2020,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
F132-2020,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
F136-2020,2,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F156-2020,2,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
F157-2020,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F185-2020,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F190-2020,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F191-2020,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F193-2020,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F246-2020,11,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
S000-2020,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
S004-2020,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
S012-2020,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S015-2020,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S016-2020,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
S018-2020,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S022-2020,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S023-2020,0,3,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
S027-2020,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S028-2020,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S115-2020,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
S141-2020,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
F045-2020,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
F126-2020,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S043-2020,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F000-2008,3,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F007-2008,18,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F010-2008,16,21,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
F011-2008,1,10,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
F012-2008,20,2,8,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0
F016-2008,1,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F017-2008,6,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F019-2008,5,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F021-2008,19,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
F023-2008,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F025-2008,8,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F028-2008,60,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F030-2008,4,7,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
F033-2008,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
F048-2008,7,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
F081-2008,2,14,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
F107-2008,8,5,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0
F110-2008,79,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F123-2008,22,18,7,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0
F125-2008,24,7,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
F131-2008,5,4,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
F132-2008,48,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F136-2008,26,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F156-2008,43,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F157-2008,17,10,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
F185-2008,26,5,3,0,0,0,0,0,0,0,0,6,19,0,0,0,0,0
F190-2008,51,11,4,0,0,0,0,0,0,0,0,13,10,0,0,0,0,0
F191-2008,15,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F193-2008,11,15,12,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
F246-2008,73,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0
S000-2008,0,6,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
S004-2008,4,22,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S012-2008,0,5,11,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
S015-2008,1,3,4,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0
S016-2008,10,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S018-2008,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S022-2008,2,11,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
S023-2008,0,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S027-2008,9,12,16,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
S028-2008,2,10,15,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0
S115-2008,0,4,2,0,1,2,0,0,0,0,0,0,0,0,0,0,3,2
S141-2008,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F045-2008,0,9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
F126-2008,0,4,0,0,1,0,0,0,0,0,0,0,0,10,2,2,0,0
S043-2008,0,7,3,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0
