Plot,Year,Elevation,Group,Anastrophyllum hellerianum,Anastrophyllum michauxii,Anastrophyllum saxicola,Anomodon rostratus,Atrichum crispum,Atrichum oerstedianum,Bazzania denudata,Bazzania nudicaulis,Bazzania tricrenata,Bazzania trilobata,Blepharostoma trichophyllum,Brachythecium digastrum,Brachythecium oxycladon,Brachythecium plumosum,Brachythecium rutabulum,Brachythecium species,Brotherella recurvans,Bryhnia novae-angliae,Calypogeja muelleriana,Cephalozia bicuspidata,Cephalozia lunulifolia,Cephalozia species,Chiloscyphus polyanthos,Dicranella fulvum,Dicranella heteromalla,Dicranodontium asperulum,Dicranodontium denudatum,Dicranum flagellare,Dicranum fulvum,Dicranum fuscescens,Dicranum scoparium,Dicranum viride,Frullania tamarisci,Grimmia species,Herbertus aduncus,Heterophyllium affine,Hylocomiastrum umbratum,Hylocomium splendens,Hypnum cupressiforme,Hypnum curvifolium,Hypnum fauriei,Hypnum imponens,Hypnum pallescens,Hypnum pratense,Isopterygiopsis muelleriana,Isopterygium tenerum,Jamesoniella autumnalis,Lejeunea lamacerina,Lepidozia reptans,Leucobryum albidum,Leucobryum glaucum,Leucodon brachypus,Loeskeobryum brevirostre,Lophocolea heterophylla,Lophozia incisa,Lophozia species,Metzgeria furcata,Mnium hornum,Nowellia curvifolia,Orthotrichum anomalum,Orthotrichum stellatum,Pallavicinia lyellii,Paraleucobryum longifolium,Plagiomnium ciliare,Plagiothecium cavifolium,Plagiothecium denticulatum,Plagiothecium laetum,Platydictya subtilis,Platygyrium repens,Pleurozium schreberi,Pohlia elongata,Polytrichastrum formosum,Polytrichum juniperinum,Polytrichum pallidisetum,Polytrichum strictum,Pseudotaxiphyllum elegans,Ptilium crista-castrensis,Pylaisia selwynii,Pylaisiadelpha tenuirostris,Pylaisiella polyantha,Pylaisiella selwynii,Radula tenax,Rhizomnium punctatum,Rhyncostegium serrulatum,Rhytidiadelphus squarrosus,Rhytidiadelphus triquetrus,Riccardia jugata,Riccardia palmata,Scapania nemorosa,Scapania undulata,Sematophyllum demissum,Sematophyllum marylandieum,Sphagnum capillifolium,Sphagnum girgensohnii,Sphagnum quinquefarium,Sphagnum squarrosum,Steerecleus serrulatus,Tetraphis pellucida,Thuidium delicatulum,Tritomaria exsecta
S015-2008,2008,H,2008H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,136,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,19,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,46,0,0,0,0,0,0,0,0,0,17,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,81,11,337,0
F000-2008,2008,M,2008M,0,0,0,0,0,0,0,0,10,136,0,0,0,0,0,0,196,0,7,0,0,0,0,0,3,9,0,0,0,7,0,0,0,0,0,0,0,44,0,23,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,56,79,0
F007-2008,2008,M,2008M,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,77,0,0,0,0,13,0,0,0,0,1,0,0,2,0,0,0,0,0,0,79,276,0,18,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,13,0,0,24,0,0,0,0,64,0,64,2,0,0,0,0,0,0,0,0,0,0,1,149,0
F010-2008,2008,M,2008M,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,160,0,0,0,0,1,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,146,0
F011-2008,2008,M,2008M,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,54,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,56,0,126,0
F012-2008,2008,M,2008M,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,14,0,0,0,0,0,0,0,4,0,10,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,12,165,0
F016-2008,2008,M,2008M,0,0,0,0,0,0,8,0,0,45,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,353,0,0,0,147,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,26,0,26,0,0,0,0,0,0,0,0,0,0,7,21,73,0
F017-2008,2008,M,2008M,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,41,0,32,20,0,0,0,0,0,0,0,0,0,0,29,4,0,20,0,0,0,0,281,0,6,0,293,0,0,0,8,0,0,7,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,41,0,0,0,0,0,0,0,0,157,0,58,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,26,0,0,0,41,4,180,0
F019-2008,2008,M,2008M,0,0,0,0,0,0,0,0,0,30,1,0,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,5,35,0,0,0,0,0,0,257,0,0,0,61,0,0,0,12,0,0,9,0,0,0,0,0,0,0,0,0,36,0,0,0,10,0,0,0,0,0,0,23,0,0,0,64,0,0,0,0,8,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,54,120,0
F021-2008,2008,H,2008H,6,11,0,0,0,0,0,0,0,59,10,0,0,0,0,0,44,0,0,6,0,20,0,0,4,0,9,0,0,6,0,0,0,0,0,0,0,0,0,0,17,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,26,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,58,39,0
